family	Run01_soil_barcode01	Run01_soil_barcode02	Run01_soil_barcode03	Run01_soil_barcode04	Run01_soil_barcode05	Run01_soil_barcode06	Run01_soil_barcode07	Run01_soil_barcode08	Run01_soil_barcode09	Run01_soil_barcode10	Run01_soil_barcode11	Run01_soil_barcode12	Run01_soil_barcode13	Run01_soil_barcode14	Run01_soil_barcode15	Run01_soil_barcode16	Run01_soil_barcode17	Run01_soil_barcode18	Run01_soil_barcode19	Run01_soil_barcode20	Run01_soil_barcode21	Run01_soil_barcode22	Run01_soil_barcode23	Run01_soil_barcode24	Run02_soil_barcode01	Run02_soil_barcode02	Run02_soil_barcode03	Run02_soil_barcode04	Run02_soil_barcode05	Run02_soil_barcode06	Run02_soil_barcode07	Run02_soil_barcode08	Run02_soil_barcode09	Run02_soil_barcode10	Run02_soil_barcode11	Run02_soil_barcode12	Run02_soil_barcode13	Run02_soil_barcode14	Run02_soil_barcode15	Run02_soil_barcode16	Run02_soil_barcode17	Run02_soil_barcode18	Run02_soil_barcode19	Run02_soil_barcode20	Run02_soil_barcode21	Run02_soil_barcode22	Run03_swab_barcode01	Run03_swab_barcode02	Run03_swab_barcode03	Run03_swab_barcode04	Run03_swab_barcode05	Run03_swab_barcode06	Run03_swab_barcode07	Run03_swab_barcode08	Run03_swab_barcode09	Run03_swab_barcode10	Run03_swab_barcode11	Run03_swab_barcode12	Run03_swab_barcode13	Run03_swab_barcode14	Run03_swab_barcode15	Run03_swab_barcode16	Run03_swab_barcode17	Run03_swab_barcode18	Run03_swab_barcode19	Run03_swab_barcode20	Run03_swab_barcode21	Run03_swab_barcode22	Run03_swab_barcode23	Run03_swab_barcode24	Run04_swab_barcode01	Run04_swab_barcode02	Run04_swab_barcode03	Run04_swab_barcode04	Run04_swab_barcode05	Run04_swab_barcode06	Run04_swab_barcode07	Run04_swab_barcode08	Run04_swab_barcode09	Run04_swab_barcode10	Run04_swab_barcode11	Run04_swab_barcode12	Run04_swab_barcode13	Run04_swab_barcode14	Run04_swab_barcode15	Run04_swab_barcode16	Run04_swab_barcode17	Run04_swab_barcode18	Run04_swab_barcode19	Run04_swab_barcode20	Run04_swab_barcode21	Run04_swab_barcode22	Run04_swab_barcode23	Run05_fecal_barcode01	Run05_fecal_barcode02	Run05_fecal_barcode03	Run05_fecal_barcode04	Run05_fecal_barcode05	Run05_fecal_barcode06	Run05_fecal_barcode07	Run05_fecal_barcode08	Run05_fecal_barcode09	Run05_fecal_barcode10	Run05_fecal_barcode11	Run05_fecal_barcode12	Run05_fecal_barcode13	Run05_fecal_barcode14	Run05_fecal_barcode15	Run05_fecal_barcode16	Run05_fecal_barcode17	Run05_fecal_barcode18	Run05_fecal_barcode19	Run05_fecal_barcode20	Run06_fecal_barcode01	Run06_fecal_barcode02	Run06_fecal_barcode03	Run06_fecal_barcode04	Run06_fecal_barcode05	Run06_fecal_barcode06	Run06_fecal_barcode07	Run06_fecal_barcode08	Run06_fecal_barcode09	Run06_fecal_barcode10	Run06_fecal_barcode11	Run06_fecal_barcode17	Run06_fecal_barcode18	Run06_fecal_barcode19	Run06_fecal_barcode20	Run06_fecal_barcode21	Run06_fecal_barcode22	Run06_fecal_barcode23	Run06_fecal_barcode24	Run07_fecal_barcode09	Run07_fecal_barcode10	Run07_fecal_barcode11	Run07_fecal_barcode12	Run07_fecal_barcode13	Run07_fecal_barcode14	Run07_fecal_barcode15	Run07_fecal_barcode16	Run07_fecal_barcode17	Run07_fecal_barcode18	Run07_fecal_barcode19	Run07_fecal_barcode20	Run07_fecal_barcode21	Run07_fecal_barcode22	Run07_fecal_barcode23	Run07_fecal_barcode24
Acanthopleuribacteraceae				15.354322294452569											12.004793299530244				13.104194745269	22.7610327755167																																																																																																																																
Acetobacteraceae	18.23205688670604			72.60447366994347		131.08122483817223	25.65822182670945		49.81434655339743		37.72000406874018	347.28417278424257		54.40496419088144	221.46184365121906	78.77278501138247		42.86946555566821	38.30143692828875	20.84451062808089	35.02173807662866	36.64638539536737	66.52267831202701	40.01731736778544	75.242791628496		42.53498481655426	123.0697203108572		16.004938206672595				30.12113060611117	31.934981917276893	45.04293866276027	57.26646468085017	70.1989679837793	80.54249675168565	102.45101926978981		75.78791071850958	33.02124951024712	27.896321290955587	23.874540935051886									1.0															11.0								0.999999999993824											72.0																																																												
Acholeplasmataceae																																																																																	141.10018602705154																																						19.00100195286711	36.0														78.15245989389673		26.652106985418982												24.90283073164113
Acidaminococcaceae																																																																							35.00000000000001	53.0																					31.0	100.00000002007023	456.0	2886.019957963322	398.0128708424028	1195.0	882.999999999958	3108.991663758596		135.0	955.9998935802856	849.0054298826925	371.99994404467054	316.97901926230037		1204.9999999933573	3049.0	907.2398423797837		75.0		57.0	944.2679282457616		677.6965210825351	525.9967900394307	101.0	700.9999999996146		235.42522546039456	86.93713535842444	402.9999914135671	313.9999959598118	644.0000000000274	307.0007455305623	1163.3089016012345	296.0		231.02298842491928	1391.0	110.00000000000144	915.958979203372	169.00000064641478	931.0000689753673		503.96079592261583	3219.675388013164			781.5235908910807	102.0002841759727	1219.016458214955		678.9722916598487	4761.608935545802	1218.9999869098374
Acidiferrobacteraceae															15.999984645199845													16.000000000554394																																																																																																																								
Acidimicrobiaceae	115.76000839458116	79.9564478807083	42.0	80.04746266885633		123.30180467006687	84.99999967508467	78.03676136321566	169.18559552576934	19.0	164.566233096541	1115.7307728244812	34.0	69.15911136983209	193.56954113100574	84.39498550012776	60.0	79.88184291218948	194.92001967300797	115.8087542196525	46.211440686219156	63.336076240423495	64.64506647868502	85.70235083472245	75.67736731532987	33.981128001559746	80.90077555963256	83.05637044847326	16.999999306653677		17.0	40.0	32.0	42.00444566019634	80.26282200610133	143.9684036776129	201.36047479877388	74.99347994449613	17.000000000000046	58.331745467231435	31.99999946175076	128.62380448111577	85.74818855648981	82.07595286959408	73.93527838865678																										40.00000000000857		31.0								19.0																																																																			
Acidobacteriaceae	363.947528647775	421.44506007163625	122.6273226443836	323.79827322015063	46.999999999999986	333.6928950415243	187.95685148469752	249.88642012161029	1041.5834380328222	78.00000270457723	235.6339596281516	198.71287503492988	19.00000000000021	166.67479080302604	250.92178901346466	89.94293991454245	142.49369462034892	119.69591055313285	317.0892629213253	553.114495081107	113.03144047518849	524.1104958391743	231.13457506270186	247.002182157273	681.1810777339264	92.02483280780643	331.89363203650055	386.99270164178154		46.99999994009284	139.9977664350911	288.8055385484755	144.0294401585879	352.07466477784885	116.1625626308838	174.9186500212857	165.7714589306869	259.11954042373856	180.89219054264257	531.631254290377	91.74662361216782	765.6332439657606	424.6127125594959	296.5663199058697	122.6829500504805																																						19.0					128.0																																																												
Acidothermaceae	37.00000000011438	43.7398099022163		36.0000066253561		40.56325136375436		29.000414268780204	107.58725230904341		50.39182656162589	109.60222362803292		36.313935936411205	31.65318932027072			25.006668331900283	33.68762543185587	76.80621498474295		47.22047997157199	23.00002862830083	36.000917845724366	33.387693224937884			28.999925392584142				23.0		34.05540521531679			35.00114945171293	27.999999999999627		33.99993456897646		68.6803569663096	52.01915769132685	41.9486305918261	33.829214083715165																																					30.0																																																																		
Actinomycetaceae																																																										22.0								26.0											1.0																																																								11.0												47.000000000001336			
Aerococcaceae																																															5.0	1.0		83.99999999999994				1.0				20.0				88.0	12.000000000000002			465.0	13.0				159.99875999554848	10.0	13.0	32.0	15.0	143.0	7.0				21.0		37.0	25.0		54.0		76.0			31.0	14.0																																																					936.2480642739455			
Aeromonadaceae																													100.00000000000004		26.0		23.0	80.0							21.0									80.00000000000001		26.0																			77.0	413.0				36.0			11.0				114.0	15.0		62.0					13.0																																																									
Akkermansiaceae																																																																																																							13.0																92.00000000000013												14.0					73.00000000024754												16.0
Alcaligenaceae	16.05100332174478	172.82175041754522		55.0			19.369214810137386	42.87410546320457	55.269636676413505	31.0	295.4920891044345	40.240170553548396		24.0	237.83700161857058	36.0267022534636	286.50635605066077	276.17003265742017	64.0019813564922	73.04055184381656		23.904306322382997	38.265528698523326	44.022818133313784	88.20069211705469	28.207939753804062	119.26625334513656	72.11560883189676	128.0	16.0		98.0	50.99999999999999	210.7729968811874	151.06197664325109	181.0000166654741	428.81341984748036	26.71554493300944	15.754674008408122	31.50225084224802	147.0	94.5278225240685	33.97204554407904	214.95681843124424	325.54121114032523						17.0																									19.0	2.0						11.0																																																																	
Alicyclobacillaceae																									195.99999999843638	41.0	42.0	70.0		13.0	19.0	14.0	15.0	56.0	12.0	39.0	84.0	38.0		275.01141297412727		15.0																																																																																																										
Alteromonadaceae																																			29.999999313386144										24.853335543811337		1.0												13.000000000000002															42.0									11.0				22.0																																																													
Anaerolineaceae									21.99999849111462			97.97306935789031								25.999993974216967																						24.98197294328851																																																																																																										
Anaeromyxobacteraceae	90.18384980650245	107.22924613247807	60.419867771123876	144.66403123064723		117.17268725139935	110.60324023165313	68.05164188767974	181.28386744243244	29.72326868410569	122.65413233909857	218.78197470939224		152.15612860507522	290.7775263270967	82.95354831752272	43.21806065720373	79.29475857660658	162.34671739720156	193.653409968223	72.64707818751057	147.44409897127045	77.50129003518737	79.3123269551378	202.07627339310255	77.3391081612708	118.57135407493128	173.05510016957584	49.01318235007699		35.530753007343186	67.32084999659328	43.65222437028942	158.14304292904512	58.54735736980969	53.54625490443466	109.93390597016729	106.76841960228253	87.51832667697145	187.10454954135753	64.09657763575943	178.90308401131074	95.17749285511314	95.22820891240482	99.7884944582852																																																																																																							
Anaeroplasmataceae																																																																																																																																						21.000000000003983														62.00111260981253
Aphanothecaceae				42.93156354233368		15.3726243699566	90.0804174065586						13.877360006931609			234.95984905703585		162.75820775982237			150.26586261639196		97.42636604386377	100.01170301010632			10.213656175800864	25.537928405608607									12.303465920153629								49.10364709842467																																																																																																							
Archangiaceae	86.08323656455332	111.42283495220117	52.00000000028446	232.1087998774293		225.28494494585252	122.0085684183363	76.60099617364384	156.9096347170318	18.00282038048219	235.3762202084186	316.3787974516443	43.0	158.9491120559386	369.00171706763393	142.45367102145573	62.996075413699515	166.6709733661903	166.09960883193745	195.50944651625167	96.96501712664742	204.81980215671499	115.7801274574359	109.0000358312029	179.99886910308362	36.001620458477	110.76899024407788	205.8226991906399	34.9861254367029		18.000000070221454	21.015574354084173		53.56372884290594	66.06318844594561	46.011868501022526	128.72551936949276	103.70921686725269	130.84998660096497	134.52747164979996	57.00009805337972	240.17816485424063	110.04408260725079	118.91026946905322	186.20391974901003																																											18.0																																																												
Ardenticatenaceae												83.04949953323842			31.000000000000004																																																																																																																																					
Armatimonadaceae	36.0	28.999971309225803	18.0	40.941868040699795		100.99984435690651	22.000000000000004	31.0	71.99614342702384	18.0	55.041408031965524	144.02450428554468		58.058540036205166	84.94927830793948	29.793711251324982	20.0	57.0	89.99175590021686	73.75280230708145	20.99999999997575	72.95738179966315	37.00000020486795	34.99849780076349	132.66966563799423	33.0	39.000000000003574	49.99999411072591	22.99999970889776		13.0	43.999999999663785	20.0	31.99283552599155	22.999999743521155	24.00000000195863	94.9999991249315	72.98018834199719	42.001340802067	44.99999845320835	25.0	69.5326011726588	52.99999999998509	30.999253774460865	17.000000000013493											14.0																				11.0					17.0										14.0																																																									
Atopobiaceae																																																																																																																																																12.0				
Aurantimonadaceae				70.99563360981489			38.99852493664374			15.999999959062214	12.97235112407342		16.754536240262052	43.155555714169274	12.007448716366111	14.518202119414823	11.000000218002253	38.987670613544715	43.0000001662933					19.999993490631887		57.99999999993719	15.0	13.331806539486207	26.000000002673893	10.930273553050132		14.0	11.00010652255395		26.000000000322213	61.54761352729745	285.0000471851781				10.0			30.951797181791605																											44.0			16.0			2.0				42129.983431572815	874.2820154996501						32.0																113.53873072348044				65.94113988708304														25.0							23.0														175.76856231427254			48.00000006276352		
Azonexaceae														281.8457387311255																				58.00006157231114																																																																																																																		
Bacillaceae	3117.8498986943673	5576.250314882052	413.0477280942199	1127.0000000072257	27.0	808.9999999999999	760.0000000050507	1406.0	3826.278294854955	365.00000000000006	2782.23832836211	1552.167237683378	342.00000000000006	2450.1388844953367	4263.637853247074	696.3450348995585	680.9999999999997	1292.0011294976505	1325.755038090345	5943.014044560077	1484.106197682931	3910.9961524384357	2208.1796207176335	1936.951882741444	6065.246115991907	1543.1720869645758	3686.953940311601	3248.4339819179518	307.0	565.0000000000001	782.9999999999999	970.31360380151	1317.130436902655	3545.0190820721114	1558.00000159439	3073.130301918956	4861.4675389726835	2555.0185161185564	1226.666226945602	9164.379844069856	1157.0916307448495	4530.107543739384	5238.439318840292	4819.356484518744	1443.0739671580852		16.0						14.999999999999998	7.999999999685646			467.0	58.0			16.0	427.99999999999994									263.0	12.0	40.0			1103.0000000000002		10.0	40.0	13.0	338.0559218719993	189.0	175.0	13.0	11.0		32.0	78.0	11.0	15.000000000000002	54.0	61.0	75.0																																																							
Bacteriovoracaceae	36.71999735913553	28.64625850628941	16.998771152335756	78.40982602362567		40.19227189788271	81.98666957458408		43.64340675255532	15.0	25.99986091505809	42.86500024515604		25.00012098668817	62.28839601085442	31.999241871460004		27.999973159922128	35.982372714805045	26.93915889899745	17.0	44.968587840754594	22.00000304085008	40.0	82.99555457149182	41.00000000018053	98.29621956387044	94.15516438086377	37.00937185387911	22.0	26.00000006122498	26.384745073215228	20.000000000007415	83.03180005713907	45.999919543070476	45.008303232947426	170.97773134192784	36.00406638222893	21.740638617150868	54.999974946499776	29.98536658359228	37.99994014440098	28.0	96.99988190051549	54.84962653349794																																																																																																							
Bacteroidaceae														21.0																																																									21.0	66.86901688447087				12.0																		12.157069717177956	992.013192994477		22.999900879162574		349.3762148279605			90.99999998772392	87.00082199372082		417.9280335846963	283.40563905666244		14.0	119.0			126.82916890628114		15.999999995223346				13.0	131.9999999996879							21.0	265.00000000001467					500.0	519.0000000633819		54.44896736788719	646.6088440458686	46.0000593622363	62.79497833048865	49.98895580187927	251.82569940230792	40.35104968250899					97.42966583809884		24.01341944131657
Baekduiaceae	19.5450947055715	18.074467507961813		15.623588845345163		28.38751913979857	13.638840119393516	16.614291791176253	23.96144605499849		26.92187352265332	264.23454884170553		17.172660383802064	35.50664566332746			13.832464124177125	17.46040223036266	26.51266062022027		20.082749506096157	15.028964918978744	12.935177734407198	13.804639714062061			29.901700980444414									22.04037096036738	19.33041787856678		26.64478111668092		37.35085255139547	21.25264560806899	23.420100844456602	14.918154455321725																																																																																																							
Balneolaceae																																																																							14.0																																																																													
Barnesiellaceae																																																																																															43.49290625957245						25.60643340103185																19.225101568845393			60.804073662870564												21.000042248007688		32.924433533371506		67.9306709565512	12.335343866752744			10.000139613566226								17.000000000000018
Bartonellaceae																											20.13009644264272					13.259127842820204																																																																																																																				
