sample_id,step0_raw_reads,step1_filtered_reads,step1_retention_pct,step2_trimmed_reads,step2_retention_pct,step5_otu97_reads,step6b_bacteria_only_reads,step6b_retention_pct,step8a_min10_reads,step8a_retention_pct,step9_final_reads,overall_retention_pct
Run01_soil_barcode01,27900,25621,91.8,25621,100.0,25621,12230,47.7,6167,50.4,6167,22.1
Run01_soil_barcode02,38686,35059,90.6,35059,100.0,35059,16224,46.3,7761,47.8,7761,20.1
Run01_soil_barcode03,15109,14232,94.2,14232,100.0,14232,6524,45.8,3673,56.3,3673,24.3
Run01_soil_barcode04,44051,39535,89.7,39533,100.0,39533,18145,45.9,8990,49.5,8990,20.4
Run01_soil_barcode05,3360,3096,92.1,3096,100.0,3096,1301,42.0,703,54.0,703,20.9
Run01_soil_barcode06,59773,53565,89.6,53565,100.0,53565,24771,46.2,12444,50.2,12444,20.8
Run01_soil_barcode07,35432,32213,90.9,32213,100.0,32213,14491,45.0,7725,53.3,7725,21.8
Run01_soil_barcode08,18717,17569,93.9,17569,100.0,17569,8656,49.3,4209,48.6,4209,22.5
Run01_soil_barcode09,49887,45043,90.3,45043,100.0,45043,22222,49.3,10211,45.9,10211,20.5
Run01_soil_barcode10,0,12481,NA,12481,100.0,12481,6075,48.7,3691,60.8,3691,NA
Run01_soil_barcode11,61295,51825,84.6,51823,100.0,51823,26069,50.3,10034,38.5,10034,16.4
Run01_soil_barcode12,61876,55950,90.4,55950,100.0,55950,28919,51.7,11646,40.3,11646,18.8
Run01_soil_barcode13,15687,14552,92.8,14551,100.0,14551,7108,48.8,4462,62.8,4462,28.4
Run01_soil_barcode14,54886,48043,87.5,48043,100.0,48043,22381,46.6,9900,44.2,9900,18.0
Run01_soil_barcode15,64922,57599,88.7,57599,100.0,57599,29860,51.8,12573,42.1,12573,19.4
Run01_soil_barcode16,58057,49664,85.5,49664,100.0,49664,21622,43.5,9944,46.0,9944,17.1
Run01_soil_barcode17,16933,15864,93.7,15864,100.0,15864,7652,48.2,4390,57.4,4390,25.9
Run01_soil_barcode18,48861,43417,88.9,43417,100.0,43417,19353,44.6,10963,56.6,10963,22.4
Run01_soil_barcode19,53422,48363,90.5,48363,100.0,48363,23465,48.5,12361,52.7,12361,23.1
Run01_soil_barcode20,48588,43748,90.0,43748,100.0,43748,21706,49.6,10310,47.5,10310,21.2
Run01_soil_barcode21,50882,44101,86.7,44099,100.0,44099,20167,45.7,11465,56.9,11465,22.5
Run01_soil_barcode22,44863,41362,92.2,41362,100.0,41362,19924,48.2,10439,52.4,10439,23.3
Run01_soil_barcode23,75854,62337,82.2,62335,100.0,62335,29108,46.7,11910,40.9,11910,15.7
Run01_soil_barcode24,56994,50222,88.1,50220,100.0,50220,24128,48.0,13033,54.0,13033,22.9
Run02_soil_barcode01,48047,42285,88.0,42284,100.0,42284,20830,49.3,9372,45.0,9372,19.5
Run02_soil_barcode02,27277,25611,93.9,25611,100.0,25611,11964,46.7,6743,56.4,6743,24.7
Run02_soil_barcode03,38488,35948,93.4,35948,100.0,35948,17340,48.2,8870,51.2,8870,23.0
Run02_soil_barcode04,50909,44686,87.8,44686,100.0,44686,21575,48.3,9586,44.4,9586,18.8
Run02_soil_barcode05,20856,19510,93.5,19510,100.0,19510,9309,47.7,4280,46.0,4280,20.5
Run02_soil_barcode06,8567,8098,94.5,8098,100.0,8098,3889,48.0,2415,62.1,2415,28.2
Run02_soil_barcode07,8409,7965,94.7,7965,100.0,7965,3739,46.9,1750,46.8,1750,20.8
Run02_soil_barcode08,22124,20747,93.8,20747,100.0,20747,9128,44.0,4791,52.5,4791,21.7
Run02_soil_barcode09,0,12497,NA,12497,100.0,12497,6023,48.2,3213,53.3,3213,NA
Run02_soil_barcode10,43460,39572,91.1,39571,100.0,39571,20531,51.9,10712,52.2,10712,24.6
Run02_soil_barcode11,26479,24713,93.3,24713,100.0,24713,12297,49.8,6599,53.7,6599,24.9
Run02_soil_barcode12,55733,50143,90.0,50143,100.0,50143,24548,49.0,13720,55.9,13720,24.6
Run02_soil_barcode13,71487,61676,86.3,61672,100.0,61672,30586,49.6,12440,40.7,12440,17.4
Run02_soil_barcode14,25978,24481,94.2,24481,100.0,24481,11480,46.9,5981,52.1,5981,23.0
Run02_soil_barcode15,16014,15039,93.9,15039,100.0,15039,7704,51.2,3674,47.7,3674,22.9
Run02_soil_barcode16,41204,38292,92.9,38292,100.0,38292,20090,52.5,9120,45.4,9120,22.1
Run02_soil_barcode17,25511,23947,93.9,23947,100.0,23947,11707,48.9,6761,57.8,6761,26.5
Run02_soil_barcode18,57783,52353,90.6,52353,100.0,52353,25642,49.0,13030,50.8,13030,22.5
Run02_soil_barcode19,47114,42177,89.5,42176,100.0,42176,21015,49.8,11905,56.7,11905,25.3
Run02_soil_barcode20,64434,57895,89.9,57893,100.0,57893,28051,48.5,15979,57.0,15979,24.8
Run02_soil_barcode21,56902,49444,86.9,49443,100.0,49443,24589,49.7,12816,52.1,12816,22.5
Run02_soil_barcode22,2,2,100.0,2,100.0,2,0,0.0,0,NA,0,0.0
Run03_swab_barcode01,425,398,93.6,398,100.0,398,192,48.2,161,83.9,161,37.9
Run03_swab_barcode02,187,181,96.8,181,100.0,181,102,56.4,86,84.3,86,46.0
Run03_swab_barcode03,1593,1533,96.2,1533,100.0,1533,714,46.6,560,78.4,560,35.2
Run03_swab_barcode04,3861,3733,96.7,3733,100.0,3733,1812,48.5,1525,84.2,1525,39.5
Run03_swab_barcode05,50,47,94.0,47,100.0,47,28,59.6,15,53.6,15,30.0
Run03_swab_barcode06,1753,1688,96.3,1688,100.0,1688,848,50.2,679,80.1,679,38.7
Run03_swab_barcode07,1933,1881,97.3,1881,100.0,1881,907,48.2,811,89.4,811,42.0
Run03_swab_barcode08,976,945,96.8,945,100.0,945,470,49.7,415,88.3,415,42.5
Run03_swab_barcode09,123,116,94.3,116,100.0,116,54,46.6,29,53.7,29,23.6
Run03_swab_barcode10,5817,5626,96.7,5626,100.0,5626,2923,52.0,2547,87.1,2547,43.8
Run03_swab_barcode11,2795,2712,97.0,2712,100.0,2712,1412,52.1,1190,84.3,1190,42.6
Run03_swab_barcode12,14071,13620,96.8,13620,100.0,13620,6861,50.4,5658,82.5,5658,40.2
Run03_swab_barcode13,23193,22389,96.5,22389,100.0,22389,11424,51.0,10091,88.3,10091,43.5
Run03_swab_barcode14,38,37,97.4,37,100.0,37,18,48.6,17,94.4,17,44.7
Run03_swab_barcode15,99,94,94.9,94,100.0,94,49,52.1,30,61.2,30,30.3
Run03_swab_barcode16,20818,20273,97.4,20273,100.0,20273,10428,51.4,9040,86.7,9040,43.4
Run03_swab_barcode17,3173,3084,97.2,3084,100.0,3084,1554,50.4,1348,86.7,1348,42.5
Run03_swab_barcode18,1983,1917,96.7,1917,100.0,1917,927,48.4,836,90.2,836,42.2
Run03_swab_barcode19,3752,3607,96.1,3607,100.0,3607,1831,50.8,1608,87.8,1608,42.9
Run03_swab_barcode20,25023,24276,97.0,24276,100.0,24276,11951,49.2,10598,88.7,10598,42.4
Run03_swab_barcode21,20742,20066,96.7,20066,100.0,20066,10189,50.8,9333,91.6,9333,45.0
Run03_swab_barcode22,663157,627232,94.6,627232,100.0,627232,309299,49.3,288348,93.2,288348,43.5
Run03_swab_barcode23,78065,75282,96.4,75282,100.0,75282,37229,49.5,35011,94.0,35011,44.8
Run03_swab_barcode24,7,7,100.0,7,100.0,7,5,71.4,5,100.0,5,71.4
Run04_swab_barcode01,136388,132281,97.0,132277,100.0,132277,66332,50.1,59539,89.8,59539,43.7
Run04_swab_barcode02,23059,22420,97.2,22420,100.0,22420,10882,48.5,8256,75.9,8256,35.8
Run04_swab_barcode03,319638,310436,97.1,310434,100.0,310434,152499,49.1,143628,94.2,143628,44.9
Run04_swab_barcode04,6804,6597,97.0,6597,100.0,6597,3196,48.4,2541,79.5,2541,37.3
Run04_swab_barcode05,3617,3510,97.0,3510,100.0,3510,1713,48.8,1470,85.8,1470,40.6
Run04_swab_barcode06,24898,24275,97.5,24275,100.0,24275,12076,49.7,9712,80.4,9712,39.0
Run04_swab_barcode07,779,758,97.3,758,100.0,758,362,47.8,283,78.2,283,36.3
