sample_id,sample_type,step0_raw,step1_filtered,step1_pct,step2_trimmed,step2_pct,step5_otu97,step5_pct,silva_filtered,silva_pct,gg2_filtered,gg2_pct,emu_classified,emu_classified_pct,emu_unclassified,emu_total_mapped_pct
Run01_soil_barcode01,Soil,27900,25621,91.8,25621,100.0,25621,100.0,12230,47.7,17813,69.5,15328,54.9,10293,91.8
Run01_soil_barcode02,Soil,38686,35059,90.6,35059,100.0,35059,100.0,16224,46.3,24877,71.0,22896,59.2,12158,90.6
Run01_soil_barcode03,Soil,15109,14232,94.2,14232,100.0,14232,100.0,6524,45.8,9623,67.6,7743,51.2,6488,94.2
Run01_soil_barcode04,Soil,44051,39535,89.7,39533,100.0,39533,100.0,18145,45.9,26696,67.5,27448,62.3,12085,89.7
Run01_soil_barcode05,Soil,3360,3096,92.1,3096,100.0,3096,100.0,1301,42.0,1775,57.3,1276,38.0,1819,92.1
Run01_soil_barcode06,Soil,59773,53565,89.6,53565,100.0,53565,100.0,24771,46.2,33398,62.4,41299,69.1,12264,89.6
Run01_soil_barcode07,Soil,35432,32213,90.9,32213,100.0,32213,100.0,14491,45.0,21365,66.3,24438,69.0,7774,90.9
Run01_soil_barcode08,Soil,18717,17569,93.9,17569,100.0,17569,100.0,8656,49.3,12397,70.6,8310,44.4,9258,93.9
Run01_soil_barcode09,Soil,49887,45043,90.3,45043,100.0,45043,100.0,22222,49.3,31746,70.5,30981,62.1,14059,90.3
Run01_soil_barcode10,Soil,0,12481,NA,12481,100.0,12481,100.0,6075,48.7,8092,64.8,7617,NA,4863,NA
Run01_soil_barcode11,Soil,61295,51825,84.6,51823,100.0,51823,100.0,26069,50.3,36565,70.6,37066,60.5,14756,84.5
Run01_soil_barcode12,Soil,61876,55950,90.4,55950,100.0,55950,100.0,28919,51.7,41399,74.0,40619,65.6,15328,90.4
Run01_soil_barcode13,Soil,15687,14552,92.8,14551,100.0,14551,100.0,7108,48.8,9410,64.7,9458,60.3,5092,92.8
Run01_soil_barcode14,Soil,54886,48043,87.5,48043,100.0,48043,100.0,22381,46.6,31994,66.6,34791,63.4,13251,87.5
Run01_soil_barcode15,Soil,64922,57599,88.7,57599,100.0,57599,100.0,29860,51.8,44018,76.4,45287,69.8,12307,88.7
Run01_soil_barcode16,Soil,58057,49664,85.5,49664,100.0,49664,100.0,21622,43.5,32005,64.4,40542,69.8,9121,85.5
Run01_soil_barcode17,Soil,16933,15864,93.7,15864,100.0,15864,100.0,7652,48.2,10778,67.9,9546,56.4,6317,93.7
Run01_soil_barcode18,Soil,48861,43417,88.9,43417,100.0,43417,100.0,19353,44.6,28328,65.2,33527,68.6,9888,88.9
Run01_soil_barcode19,Soil,53422,48363,90.5,48363,100.0,48363,100.0,23465,48.5,32583,67.4,37206,69.6,11156,90.5
Run01_soil_barcode20,Soil,48588,43748,90.0,43748,100.0,43748,100.0,21706,49.6,31638,72.3,31601,65.0,12146,90.0
Run01_soil_barcode21,Soil,50882,44101,86.7,44099,100.0,44099,100.0,20167,45.7,28093,63.7,35083,68.9,9014,86.7
Run01_soil_barcode22,Soil,44863,41362,92.2,41362,100.0,41362,100.0,19924,48.2,28226,68.2,29866,66.6,11491,92.2
Run01_soil_barcode23,Soil,75854,62337,82.2,62335,100.0,62335,100.0,29108,46.7,41054,65.9,50446,66.5,11889,82.2
Run01_soil_barcode24,Soil,56994,50222,88.1,50220,100.0,50220,100.0,24128,48.0,33267,66.2,39712,69.7,10507,88.1
Run02_soil_barcode01,Soil,48047,42285,88.0,42284,100.0,42284,100.0,20830,49.3,30783,72.8,28240,58.8,14042,88.0
Run02_soil_barcode02,Soil,27277,25611,93.9,25611,100.0,25611,100.0,11964,46.7,17584,68.7,17115,62.7,8495,93.9
Run02_soil_barcode03,Soil,38488,35948,93.4,35948,100.0,35948,100.0,17340,48.2,25687,71.5,23306,60.6,12639,93.4
Run02_soil_barcode04,Soil,50909,44686,87.8,44686,100.0,44686,100.0,21575,48.3,31816,71.2,31094,61.1,13592,87.8
Run02_soil_barcode05,Soil,20856,19510,93.5,19510,100.0,19510,100.0,9309,47.7,13386,68.6,11462,55.0,8047,93.5
Run02_soil_barcode06,Soil,8567,8098,94.5,8098,100.0,8098,100.0,3889,48.0,5499,67.9,4387,51.2,3711,94.5
Run02_soil_barcode07,Soil,8409,7965,94.7,7965,100.0,7965,100.0,3739,46.9,5656,71.0,2182,25.9,5783,94.7
Run02_soil_barcode08,Soil,22124,20747,93.8,20747,100.0,20747,100.0,9128,44.0,14025,67.6,12809,57.9,7937,93.8
Run02_soil_barcode09,Soil,0,12497,NA,12497,100.0,12497,100.0,6023,48.2,8955,71.7,5205,NA,7292,NA
Run02_soil_barcode10,Soil,43460,39572,91.1,39571,100.0,39571,100.0,20531,51.9,28809,72.8,26457,60.9,13113,91.0
Run02_soil_barcode11,Soil,26479,24713,93.3,24713,100.0,24713,100.0,12297,49.8,17612,71.3,14142,53.4,10571,93.3
Run02_soil_barcode12,Soil,55733,50143,90.0,50143,100.0,50143,100.0,24548,49.0,34546,68.9,38359,68.8,11784,90.0
